product,price
Hamburger classic,0.0
Hamburger classic extreme,0.0
Cheeseburger classic,0.0
Cheeseburger classic extreme,0.0
Golden burger,0.0
Golden burger extreme,0.0
Veggie burger,0.0
Club sandwich,0.0
Club με γαλοπούλα,0.0
Caesar’s club extreme,0.0
Crispy club extreme,0.0
Chicken nuggets (8 τμχ),0.0
Chicken nuggets(12 τμχ),0.0
Φιλετίνια κοτόπουλου,0.0
Premier Παραδοσιακό – Vegeterian,0.0
Πίττα Goody’s,0.0
Πίττα special Goody’s,0.0
Πατάτες (κανονικό),0.0
Πατάτες Max,0.0
Sauce (μικρό),0.0
Sauce (μεγάλο),0.0
Αναψυκτικό 330ml,0.0
